Sequence;Type;d_molpdf;d_dope_score;d_normalized_dope;d_GA341_score;d_zscore;d_maxsub;d_lgscore;d_Z-score_mammoth;d_TM-score_mammoth;d_RMSD_TMalign;d_TM-score_TMalign;molpdf_ref;dope_score_ref;normalized_dope_ref;GA341_score_ref;zscore_ref;maxsub_ref;lgscore_ref;Z-score_mammoth_ref;TM-score_mammoth_ref;RMSD_TMalign_ref;TM-score_TMalign_ref;molpdf_tneg;dope_score_tneg;normalized_dope_tneg;GA341_score_tneg;zscore_tneg;maxsub_tneg;lgscore_tneg;Z-score_mammoth_tneg;TM-score_mammoth_tneg;RMSD_TMalign_tneg;TM-score_TMalign_tneg
Sul_AAB05462_1_ref_sul;Ref;6005,114258;-8979,763672;-2,346718081;0,740319818;-3,03;0,421;3,092;3,5881;0,1634;-0,23;0,13634;9908,000977;-30074,79492;-1,000504776;1;-7,79;0,515;4,524;11,5939;0,9393;1,61;0,92374;3902,886719;-21095,03125;1,346213305;0,259680182;-4,76;0,094;1,432;8,0058;0,7759;1,84;0,7874
Sul_AAL10704_1_ref_sul;Ref;613,3779297;-8546,929688;-2,138892704;0,9542672;-5,8;0,395;3,483;7,4916;0,4617;-3,39;0,39617;9943,288086;-30385,09375;-1,022793093;1;-7,71;0,521;5,113;11,5211;0,9304;0,77;0,93245;9329,910156;-21838,16406;1,11609961;0,0457328;-1,91;0,126;1,63;4,0295;0,4687;4,16;0,53628
Sul_AAM21663_1_ref_sul;Ref;6059,739258;-7974,923828;-2,084119207;0,682313085;-4,08;0,367;2,372;4,5822;0,2481;-0,77;0,21048;9881,198242;-30115,65625;-0,972860657;1;-7,69;0,521;4,396;11,5939;0,9383;1,66;0,92097;3821,458984;-22140,73242;1,11125855;0,317686915;-3,61;0,154;2,024;7,0117;0,6902;2,43;0,71049
Sul_AAN40996_1_ref_sul;Ref;5125,722656;-8629,917969;-2,255291484;0,946987901;-4,03;0,35;2,703;3,0083;0,1432;-0,62;0,10713;9706,436523;-29725,72852;-0,966091004;1;-7,86;0,506;4,388;11,5939;0,9375;1,56;0,92697;4580,713867;-21095,81055;1,28920048;0,053012099;-3,83;0,156;1,685;8,5856;0,7943;2,18;0,81984
Sul_AAS18380_1_ref_sul;Ref;-159,8056641;-8943,765625;-2,337310565;0,979999918;-6,03;0,446;3,329;4,5277;0,2203;-0,75;0,1691;9479,041992;-29349,35547;-0,962507169;1;-8,05;0,515;4,515;11,8757;0,9465;1,69;0,92868;9638,847656;-20405,58984;1,374803397;0,020000082;-2,02;0,069;1,186;7,348;0,7262;2,44;0,75958
Sul_AAZ73126_1_ref_sul;Ref;412,8095703;-8653,595703;-2,220510455;0,927466698;-5,65;0,381;3,212;8,1864;0,4943;-2,6;0,39999;9784,995117;-29548,51563;-1,012369692;1;-8,23;0,473;4,566;11,6361;0,9209;1,74;0,91099;9372,185547;-20894,91992;1,208140762;0,072533302;-2,58;0,092;1,354;3,4497;0,4266;4,34;0,511
Sul_ABQ96629_1_ref_sul;Ref;-1263,535156;-8799,697266;-2,233720508;0,971173048;-5,95;0,408;3;6,2224;0,3511;-1,84;0,29283;9620,196289;-30072,15625;-1,040364572;1;-7,78;0,515;4,684;11,529;0,9102;1,84;0,91383;10883,73145;-21272,45898;1,193355935;0,028826952;-1,83;0,107;1,684;5,3066;0,5591;3,68;0,621
Sul_ABY60434_1_ref_sul;Ref;288,8691406;-8873,458984;-2,144818906;0,887400508;-5,19;0,383;2,804;5,9728;0,3794;-2,02;0,32722;9770,959961;-30641,10352;-0,849840514;1;-7,86;0,494;4,639;10,8307;0,9106;1,86;0,91294;9482,09082;-21767,64453;1,294978392;0,112599492;-2,67;0,111;1,835;4,8579;0,5312;3,88;0,58572
Sul_ACF06160_1_ref_sul;Ref;1164,399414;-8947,587891;-2,200284243;0,960304413;-5,9;0,404;3,161;7,0801;0,4318;-2,63;0,37182;10049,03906;-30824,90234;-0,923786604;1;-7,44;0,511;4,546;11,6067;0,9463;0,8;0,94822;8884,639648;-21877,31445;1,276497639;0,039695587;-1,54;0,107;1,385;4,5266;0,5145;3,43;0,5764
Sul_ACN39575_1_ref_sul;Ref;6705,454102;-9355,146484;-2,341151184;0,811934665;-3,85;0,452;3,353;3,6839;0,1629;-0,23;0,14798;10025,52637;-30609,45313;-0,870743214;1;-8,02;0,559;4,772;11,524;0,9251;1,68;0,92759;3320,072266;-21254,30664;1,47040797;0,188065335;-4,17;0,107;1,419;7,8401;0,7622;1,91;0,77961
